datetime,latitude,longitude,magnitude,location
2009-04-12 07:02:50.297075+00:00,0.75783104,99.554474,4.2925389,"Northern Sumatra, Indonesia"
2009-04-12 23:38:19.301045+00:00,-4.2287316,102.52921,4.3255131,"Southern Sumatra, Indonesia"
2009-04-13 23:14:22.380651+00:00,-1.6231589,102.58596,4.2367502,"Southern Sumatra, Indonesia"
2009-04-14 19:38:17.334664+00:00,1.9356842,96.668442,3.9067329,Off West Coast of Northern Sumatra
2009-04-14 19:57:48.358103+00:00,-0.43533915,100.50047,3.6057724,"Southern Sumatra, Indonesia"
2009-04-15 06:38:05.406020+00:00,-6.0392675,102.3082,4.4394759,"Southwest of Sumatra, Indonesia"
2009-04-15 11:53:12.669070+00:00,-3.7694879,105.41529,3.5934001,"Southern Sumatra, Indonesia"
2009-04-15 16:39:56.183085+00:00,-0.43359014,100.48903,3.8688392,"Southern Sumatra, Indonesia"
2009-04-15 16:43:16.768046+00:00,-0.41312334,100.47415,4.0433306,"Southern Sumatra, Indonesia"
2009-04-15 17:47:28.333714+00:00,-3.2727461,100.15008,5.4564182,"Southern Sumatra, Indonesia"
2009-04-15 20:01:33.806399+00:00,-3.2475998,100.34629,6.3704084,"Southern Sumatra, Indonesia"
2009-04-15 20:14:38.045485+00:00,-3.269558,100.2571,4.7379779,"Southern Sumatra, Indonesia"
2009-04-15 21:48:12.146459+00:00,-3.4594352,100.28748,3.8893262,"Southern Sumatra, Indonesia"
2009-04-15 23:13:52.195312+00:00,-3.6797171,100.06632,4.6025654,"Southern Sumatra, Indonesia"
2009-04-16 01:08:50.569265+00:00,2.1411154,97.146317,3.2477229,"Northern Sumatra, Indonesia"
2009-04-16 01:59:29.884086+00:00,-6.7085061,102.69443,4.479694,"Southwest of Sumatra, Indonesia"
2009-04-16 13:33:14.782620+00:00,3.3310874,97.177048,4.4713988,"Northern Sumatra, Indonesia"
2009-04-16 20:42:28.822549+00:00,-3.4205036,100.11068,4.8899808,"Southern Sumatra, Indonesia"
2009-04-16 20:51:45.922581+00:00,-3.3800399,100.23756,5.2043183,"Southern Sumatra, Indonesia"
2009-04-16 21:51:12.496376+00:00,3.3131685,98.002266,2.8422041,"Northern Sumatra, Indonesia"
2009-04-17 07:30:48.013020+00:00,-4.4368176,102.27116,3.0910965,"Southern Sumatra, Indonesia"
2009-04-18 04:31:01.317596+00:00,1.3764144,96.96936,4.1433062,Off West Coast of Northern Sumatra
2009-04-18 09:35:40.936535+00:00,-4.6980958,102.11958,3.7722085,"Southern Sumatra, Indonesia"
2009-04-18 20:05:29.752896+00:00,-1.4812262,99.403435,4.1754188,"Southern Sumatra, Indonesia"
2009-04-18 22:39:08.440193+00:00,-1.4741707,100.08709,3.9478573,"Southern Sumatra, Indonesia"
2009-04-19 02:22:54.773103+00:00,-1.0566512,99.963326,4.1325793,"Southern Sumatra, Indonesia"
2009-04-19 11:10:00.525111+00:00,2.755724,98.939926,5.051118,"Northern Sumatra, Indonesia"
